census,county,state,income,population,tract,GEOID20,OBJECTID_1,OBJECTID,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,CBSA10,METRO_NAME,HRS2020,RHRS20,Shape_Leng,Shape_Area,EQINTER20,area
221.0,Kings County,New York,770.0,3813.0,022100,36047022100,9400,11454,152080.0,0.0,40.676167,-73.9543559,35620.0,"New York-Newark-Jersey City, N",3.326548,3.3,0.0168417081,1.619835e-05,4,152080
222.0,Kings County,New York,827.0,3991.0,022200,36047022200,7732,9552,176184.0,0.0,40.6382394,-73.9929635,35620.0,"New York-Newark-Jersey City, N",3.085706,3.1,0.0186902264,1.875528e-05,3,176185
224.0,Kings County,New York,1072.0,5393.0,022400,36047022400,9390,11444,175564.0,0.0,40.6405156,-73.9903118,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01895243337,1.868983e-05,4,175563
226.0,Kings County,New York,455.0,2167.0,022600,36047022600,9391,11445,156180.0,0.0,40.641984,-73.9863474,35620.0,"New York-Newark-Jersey City, N",3.88255,3.9,0.01947738822,1.662676e-05,4,156180
227.0,Kings County,New York,790.0,3873.0,022700,36047022700,9392,11446,240692.0,0.0,40.6815084,-73.9572531,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02247524042,2.563873e-05,4,240692
228.0,Kings County,New York,751.0,3938.0,022800,36047022800,9393,11447,167373.0,0.0,40.6391243,-73.9815297,35620.0,"New York-Newark-Jersey City, N",3.734858,3.7,0.01868841504,1.781763e-05,4,167374
229.0,Kings County,New York,601.0,3832.0,022900,36047022900,9709,11772,171838.0,0.0,40.6851316,-73.9567615,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01730799649,1.830533e-05,4,171839
230.0,Kings County,New York,865.0,4619.0,023000,36047023000,9394,11448,150941.0,0.0,40.637816,-73.9842809,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.02705251857,1.60678e-05,4,150940
231.0,Kings County,New York,965.0,3652.0,023100,36047023100,9395,11449,159414.0,0.0,40.6857866,-73.9608381,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01765380934,1.698191e-05,4,159414
232.0,Kings County,New York,1075.0,5865.0,023200,36047023200,9758,11821,226376.0,0.0,40.6360999,-73.9862206,35620.0,"New York-Newark-Jersey City, N",3.583649,3.6,0.02352407891,2.409766e-05,4,226377
233.0,Kings County,New York,1032.0,6023.0,023300,36047023300,9396,11450,171838.0,0.0,40.6887957,-73.95749,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01729979303,1.83063e-05,4,171838
234.0,Kings County,New York,917.0,4833.0,023400,36047023400,9397,11451,169784.0,0.0,40.6338712,-73.9879406,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02028591092,1.807288e-05,3,169785
235.0,Kings County,New York,882.0,5036.0,023500,36047023500,9398,11452,141574.0,0.0,40.692513,-73.9577849,35620.0,"New York-Newark-Jersey City, N",4.0,4.0,0.01557012558,1.508302e-05,4,141574
236.0,Kings County,New York,1072.0,5352.0,023600,36047023600,9399,11453,169852.0,0.0,40.6321905,-73.9896876,35620.0,"New York-Newark-Jersey City, N",3.0,3.0,0.02029034342,1.807947e-05,3,169851
